chr,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width,mid,direction,is_sig
chr21,23418674,23418721,48,*,3,1.9132546337808776,2.2820174300242826,4757.744434710713,0.001104522043188584,0.6600757611554757,87830,87832,3,23418697,Hyper (ALS>Ctrl),TRUE
chr21,33247776,33247835,60,*,3,2.147026990819876,2.282474791671381,4740.121307274609,0.001104522043188584,0.6600757611554757,172867,172869,3,33247805,Hyper (ALS>Ctrl),TRUE
chr21,43812116,43812156,41,*,3,0.5366152803275689,2.2829528010209974,4710.147082135709,0.0011104285781788972,0.6600757611554757,288244,288246,3,43812136,Hyper (ALS>Ctrl),TRUE
chr21,9088212,9088232,21,*,3,0.7286521483289986,-2.2826100486652963,-4474.274137829896,0.0012285592779851628,0.7067386323970777,5992,5994,3,9088222,Hypo (ALS<Ctrl),TRUE
chr21,20594227,20594622,396,*,3,0.8529868902662907,-2.282492418963089,-4363.480770766111,0.0012817180928979823,0.7142774609578038,69437,69439,3,20594424,Hypo (ALS<Ctrl),TRUE
chr21,15919961,15919975,15,*,3,1.7145185882837066,-2.2823762166437827,-4078.9427102027944,0.0013880357227236213,0.746347061245705,37735,37737,3,15919968,Hypo (ALS<Ctrl),TRUE
chr21,42652401,42652438,38,*,3,1.3470512588221308,2.2816871715408147,4004.651007891309,0.0014471010726267543,0.746347061245705,276417,276419,3,42652419,Hyper (ALS>Ctrl),TRUE
chr21,44865362,44865401,40,*,4,0.35356908880530824,-2.2818793000665245,-3947.823740665555,0.001464820677597694,0.746347061245705,300902,300905,4,44865381,Hypo (ALS<Ctrl),TRUE
chr21,45421508,45421564,57,*,4,2.792609301038609,-2.282351245916309,-3705.1067121650117,0.0015829513774039598,0.7841325531456893,308646,308649,4,45421536,Hypo (ALS<Ctrl),TRUE
chr21,33126732,33126764,33,*,3,0.695257550562046,2.281630556550113,3233.6985810359215,0.0017188016821811653,0.8284159567118032,171464,171466,3,33126748,Hyper (ALS>Ctrl),TRUE
chr21,27465508,27465554,47,*,5,0.32839320269984806,-1.1411333104891077,-2698.3519764956823,0.0019137173368615036,0.8912643256190957,119904,119908,5,27465531,Hypo (ALS<Ctrl),TRUE
chr21,33101529,33101589,61,*,3,0.31050876383159,2.2821965617298883,2570.3593021037946,0.0019491565468033832,0.8912643256190957,171111,171113,3,33101559,Hyper (ALS>Ctrl),TRUE
chr21,27584742,27584762,21,*,3,1.7425018042037501,-2.2819181684890832,-2210.8067582607564,0.0020613807116193358,0.9190150557576904,120705,120707,3,27584752,Hypo (ALS<Ctrl),TRUE
chr21,42939511,42939563,53,*,3,1.1232512585606644,2.2923851047845534,117.00741438340691,0.0022444832963190472,0.9655363527540203,281077,281079,3,42939537,Hyper (ALS>Ctrl),TRUE
chr21,13974122,13974181,60,*,3,2.814315360300849,-2.2958260636162313,-99.26170199248743,0.0022740159712706137,0.9655363527540203,23510,23512,3,13974151,Hypo (ALS<Ctrl),TRUE
chr21,35787873,35787962,90,*,5,0.29535961038087327,-2.330135331846008,-79.3687001609578,0.0023921466710768793,0.973418827475549,196992,196996,5,35787917,Hypo (ALS<Ctrl),TRUE
chr21,42261339,42261679,341,*,10,5.577929076791167,2.2866619423733576,69.82553396492125,0.002463025090960639,0.973418827475549,270875,270884,10,42261509,Hyper (ALS>Ctrl),TRUE
chr21,36120725,36120765,41,*,3,1.0881846351382605,2.2993168685388836,60.03360021465551,0.0025752492557765913,0.973418827475549,200371,200373,3,36120745,Hyper (ALS>Ctrl),TRUE
chr21,31860613,31860667,55,*,3,1.3950827302695177,-2.3090087490827513,-59.760210325610615,0.0025988753957378445,0.973418827475549,157723,157725,3,31860640,Hypo (ALS<Ctrl),TRUE
chr21,30084140,30084233,94,*,3,2.0607916652419407,2.3067166227087417,50.59437188360057,0.002758351840476303,0.973418827475549,140453,140455,3,30084186,Hyper (ALS>Ctrl),TRUE
chr21,22626858,22626967,110,*,3,0.3228430002020537,2.3018446158043147,33.646033611302386,0.002988706705098521,0.973418827475549,82629,82631,3,22626912,Hyper (ALS>Ctrl),TRUE
chr21,24221770,24222352,583,*,4,3.4815911106982376,2.1074088756739418,13.542288045992038,0.0031895288947691725,0.973418827475549,93913,93916,4,24222061,Hyper (ALS>Ctrl),TRUE
chr21,18634612,18635748,1137,*,4,1.935824106409807,2.1300470998678143,10.583005244258361,0.003242687709681992,0.973418827475549,55937,55940,4,18635180,Hyper (ALS>Ctrl),TRUE
chr21,40408841,40408859,19,*,3,0.8771904925279118,1.467750865949101,9.437758993415448,0.0033194726645560647,0.973418827475549,248421,248423,3,40408850,Hyper (ALS>Ctrl),TRUE
chr21,33033285,33033449,165,*,17,10.347037855478506,1.879837358425082,8.642508043657413,0.003402164154420451,0.973418827475549,170379,170395,17,33033367,Hyper (ALS>Ctrl),TRUE
chr21,44346135,44346379,245,*,3,0.30885985228977686,-5.211390326260893e-4,-8.514760175129034,0.0034316968293720174,0.973418827475549,294087,294089,3,44346257,Hypo (ALS<Ctrl),TRUE
chr21,13808998,13809130,133,*,3,1.7071815062002789,1.8713658132710982,8.358325056058296,0.0034671360393138968,0.973418827475549,22629,22631,3,13809064,Hyper (ALS>Ctrl),TRUE
chr21,24894051,24894083,33,*,3,1.467085540876921,1.971133379271742,7.741634277712976,0.0035616405991589096,0.973418827475549,98799,98801,3,24894067,Hyper (ALS>Ctrl),TRUE
chr21,27136741,27136785,45,*,4,0.583967780875466,1.9258937569816794,7.553323373530582,0.003573453669139536,0.973418827475549,117429,117432,4,27136763,Hyper (ALS>Ctrl),TRUE
chr21,37768102,37768290,189,*,6,2.682318846549129,1.9561657039602378,6.928203230275506,0.0037683693238198743,0.973418827475549,220929,220934,6,37768196,Hyper (ALS>Ctrl),TRUE
chr21,27986834,27987396,563,*,5,3.1092404260289506,1.8851815298754324,6.60397443498889,0.003839247743703634,0.973418827475549,123621,123625,5,27987115,Hyper (ALS>Ctrl),TRUE
chr21,24640668,24641523,856,*,6,2.5048958008612634,1.9578425770527674,6.556811495946776,0.003845154278693947,0.973418827475549,96864,96869,6,24641095,Hyper (ALS>Ctrl),TRUE
chr21,46515598,46515735,138,*,5,1.3941089405506317,1.9712019138228816,6.334530322938383,0.003975098048480839,0.973418827475549,321889,321893,5,46515666,Hyper (ALS>Ctrl),TRUE
chr21,24852566,24852628,63,*,5,2.3990642017888106,1.8970850882483488,6.278297741192187,0.003992817653451779,0.973418827475549,98519,98523,5,24852597,Hyper (ALS>Ctrl),TRUE
chr21,13007486,13007554,69,*,4,2.6279715218776336,1.9428619350715348,6.125824901714843,0.004110948353258045,0.973418827475549,19579,19582,4,13007520,Hyper (ALS>Ctrl),TRUE
chr21,19077023,19077855,833,*,4,2.9733262962628975,2.026361230314829,6.103413878746243,0.004128667958228985,0.973418827475549,58732,58735,4,19077439,Hyper (ALS>Ctrl),TRUE
chr21,34821157,34821217,61,*,4,2.7840901330848666,-2.021925148085259,-6.033374046589314,0.00419363984312243,0.973418827475549,187732,187735,4,34821187,Hypo (ALS<Ctrl),TRUE
chr21,36774076,36774353,278,*,4,1.257804872449054,1.8850437645867435,5.9253193992752236,0.004323583612909323,0.973418827475549,209581,209584,4,36774214,Hyper (ALS>Ctrl),TRUE
chr21,45615249,45615750,502,*,30,15.458490340139402,1.1673643070980646,5.897088067903916,0.004353116287860889,0.973418827475549,311179,311208,30,45615499,Hyper (ALS>Ctrl),TRUE
chr21,29077244,29077268,25,*,7,1.357533777880239,-1.9523229770526103,-5.822242249946081,0.004423994707744649,0.973418827475549,131762,131768,7,29077256,Hypo (ALS<Ctrl),TRUE
chr21,44853615,44853721,107,*,4,0.6916759010795318,1.7610409599624612,5.8116411731031175,0.004429901242734962,0.973418827475549,300636,300639,4,44853668,Hyper (ALS>Ctrl),TRUE
chr21,33203593,33203735,143,*,5,3.2926423505792304,1.615993498297235,5.688181222099793,0.0045480319425412275,0.973418827475549,172489,172493,5,33203664,Hyper (ALS>Ctrl),TRUE
chr21,38088792,38089151,360,*,4,1.0276615559342224,1.8672490810529543,5.612486080160914,0.0046661626423474935,0.973418827475549,223837,223840,4,38088971,Hyper (ALS>Ctrl),TRUE
chr21,33257229,33257511,283,*,11,6.3124644995838635,-1.3358619031115198,-5.517739000067575,0.004796106412134385,0.973418827475549,172957,172967,11,33257370,Hypo (ALS<Ctrl),TRUE
chr21,37374097,37374744,648,*,14,10.288458983356698,1.4542430533699515,5.5151432123993045,0.004802012947124699,0.973418827475549,216894,216907,14,37374420,Hyper (ALS>Ctrl),TRUE
chr21,27467590,27468382,793,*,5,2.7301006539769896,1.5871546578409672,5.492370045273707,0.0048197325520956385,0.973418827475549,119935,119939,5,27467986,Hyper (ALS>Ctrl),TRUE
chr21,24630239,24631504,1266,*,6,2.736674799121195,1.4434304391067097,5.441884805500207,0.004855171762037518,0.973418827475549,96795,96800,6,24630871,Hyper (ALS>Ctrl),TRUE
chr21,44915058,44915313,256,*,12,9.56764358106066,-2.0801911140742764,-5.384328677677049,0.004931956716911591,0.973418827475549,301575,301586,12,44915185,Hypo (ALS<Ctrl),TRUE
chr21,10434377,10434921,545,*,3,1.0454597205586276,1.6741737321099137,5.379400541848863,0.004931956716911591,0.973418827475549,12737,12739,3,10434649,Hyper (ALS>Ctrl),TRUE
chr21,44818727,44818866,140,*,17,5.727189169825664,1.6996835081639945,5.37830375357882,0.004931956716911591,0.973418827475549,300120,300136,17,44818796,Hyper (ALS>Ctrl),TRUE
chr21,41171380,41171561,182,*,9,2.5536991559078936,-1.3590062899426638,-5.321367932811704,0.005014648206775977,0.973418827475549,255701,255709,9,41171470,Hypo (ALS<Ctrl),TRUE
chr21,37274014,37274139,126,*,5,4.210050867174696,1.7652584276392926,5.193495064917314,0.005250909606388509,0.973418827475549,215736,215740,5,37274076,Hyper (ALS>Ctrl),TRUE
chr21,13382081,13382515,435,*,4,2.9372353818478576,-1.9218470077332266,-5.174093333729118,0.005298161886311014,0.973418827475549,21300,21303,4,13382298,Hypo (ALS<Ctrl),TRUE
chr21,16675226,16675251,26,*,3,1.559745150914653,1.7894246209719162,5.123636796203746,0.005374946841185087,0.973418827475549,43619,43621,3,16675238,Hyper (ALS>Ctrl),TRUE
chr21,33546695,33546759,65,*,9,3.963816664927336,1.1683342543243191,5.105533067010148,0.0054221991211075935,0.973418827475549,175127,175135,9,33546727,Hyper (ALS>Ctrl),TRUE
chr21,24614533,24614599,67,*,3,1.5756207342015327,-1.6702731365689354,-5.078524247542428,0.005445825261068847,0.973418827475549,96671,96673,3,24614566,Hypo (ALS<Ctrl),TRUE
chr21,42056971,42057129,159,*,8,5.183751122704757,-1.5026973812538968,-5.037033754098202,0.005516703680952606,0.973418827475549,267995,268002,8,42057050,Hypo (ALS<Ctrl),TRUE
chr21,14638207,14638603,397,*,4,1.412696255389159,-1.5265361441602388,-5.035625805016281,0.005516703680952606,0.973418827475549,27999,28002,4,14638405,Hypo (ALS<Ctrl),TRUE
chr21,9943749,9943806,58,*,3,0.4279822343189704,1.95710947489207,5.013334647643243,0.005581675565846052,0.973418827475549,9736,9738,3,9943777,Hyper (ALS>Ctrl),TRUE
chr21,45225609,45225861,253,*,5,2.7324799710351027,1.6657155274864346,5.001945434196438,0.005611208240797618,0.973418827475549,305713,305717,5,45225735,Hyper (ALS>Ctrl),TRUE
chr21,21839113,21839126,14,*,3,1.4470274421624187,1.9020905754317252,4.998114499820967,0.0056348343807588715,0.973418827475549,78396,78398,3,21839119,Hyper (ALS>Ctrl),TRUE
chr21,21257732,21257828,97,*,3,0.6463243200394686,1.8299572497214043,4.95941684594063,0.005705712800642631,0.973418827475549,74608,74610,3,21257780,Hyper (ALS>Ctrl),TRUE
chr21,43915659,43915692,34,*,5,4.3202432465171485,1.840682597851257,4.947168755829532,0.005723432405613571,0.973418827475549,289884,289888,5,43915675,Hyper (ALS>Ctrl),TRUE
chr21,46602644,46603352,709,*,6,4.1007567896365416,-1.7388139564261413,-4.9085759119917345,0.005794310825497331,0.973418827475549,322780,322785,6,46602998,Hypo (ALS<Ctrl),TRUE
chr21,43801256,43801395,140,*,11,1.1984847561596226,-0.8465340884101555,-4.899272035069066,0.005823843500448896,0.973418827475549,288050,288060,11,43801325,Hypo (ALS<Ctrl),TRUE
chr21,20532124,20533042,919,*,8,5.525290065696034,-1.6526227498974424,-4.839000847648184,0.005947880735245476,0.973418827475549,68954,68961,8,20532583,Hypo (ALS<Ctrl),TRUE
chr21,42520153,42520615,463,*,8,3.5502817481427638,1.5015501016867827,4.836182683833964,0.005953787270235789,0.973418827475549,274409,274416,8,42520384,Hyper (ALS>Ctrl),TRUE
chr21,23416899,23417196,298,*,6,3.768376418282111,-1.5647851433407192,-4.780273839100589,0.00615460945990644,0.973418827475549,87816,87821,6,23417047,Hypo (ALS<Ctrl),TRUE
chr21,21495192,21495485,294,*,4,2.6539232806044715,-1.8394943457120536,-4.778955037513585,0.006166422529887067,0.973418827475549,76158,76161,4,21495338,Hypo (ALS<Ctrl),TRUE
chr21,41370489,41370537,49,*,8,0.6159006391300454,1.667389491211412,4.750158972097536,0.006231394414780513,0.973418827475549,258202,258209,8,41370513,Hyper (ALS>Ctrl),TRUE
chr21,32841185,32841239,55,*,5,2.0145039710277017,1.5803258773497157,4.7442433749875335,0.006249114019751453,0.973418827475549,168400,168404,5,32841212,Hyper (ALS>Ctrl),TRUE
chr21,8986635,8986682,48,*,7,6.257504247610653,-1.9275894548890213,-4.741025513197803,0.006266833624722393,0.973418827475549,5229,5235,7,8986658,Hypo (ALS<Ctrl),TRUE
chr21,31049501,31049603,103,*,8,4.22919981304056,1.378399984176224,4.738449170499827,0.006290459764683646,0.973418827475549,147676,147683,8,31049552,Hyper (ALS>Ctrl),TRUE
chr21,13221578,13222132,555,*,5,2.771280150615318,1.821248908888719,4.706376063978349,0.006396777394509285,0.973418827475549,20516,20520,5,13221855,Hyper (ALS>Ctrl),TRUE
chr21,13979383,13979867,485,*,16,5.796783641987326,-1.1677436210812506,-4.699930004652302,0.006408590464489911,0.973418827475549,23533,23548,16,13979625,Hypo (ALS<Ctrl),TRUE
chr21,32509883,32509935,53,*,4,1.2086402328152341,1.6240414354034014,4.6893687988256865,0.006467655814393044,0.973418827475549,165259,165262,4,32509909,Hyper (ALS>Ctrl),TRUE
chr21,23997727,23998320,594,*,15,6.86659224280045,-1.1929192830730033,-4.687103172859005,0.006473562349383358,0.973418827475549,92359,92373,15,23998023,Hypo (ALS<Ctrl),TRUE
chr21,27005165,27005289,125,*,3,0.5217690341538758,-1.810406344657686,-4.682883549807362,0.006473562349383358,0.973418827475549,116458,116460,3,27005227,Hypo (ALS<Ctrl),TRUE
chr21,7318088,7318717,630,*,5,3.415238324089691,-1.3911312640653974,-4.665708547415534,0.0065090015593252375,0.973418827475549,1891,1895,5,7318402,Hypo (ALS<Ctrl),TRUE
chr21,27157195,27157386,192,*,3,1.8585688837336476,2.081242174644232,4.655202445744756,0.006562160374238057,0.973418827475549,117614,117616,3,27157290,Hyper (ALS>Ctrl),TRUE
chr21,28555267,28555605,339,*,5,1.636270391892635,-1.8542203881512624,-4.653318991761533,0.0065857865141993105,0.973418827475549,127393,127397,5,28555436,Hypo (ALS<Ctrl),TRUE
chr21,38625634,38625836,203,*,4,1.0821735976818085,1.571209750296483,4.6468086371274415,0.006621225724141189,0.973418827475549,229056,229059,4,38625735,Hyper (ALS>Ctrl),TRUE
chr21,16296282,16296350,69,*,7,1.980661214365338,1.29871559827111,4.643848061234275,0.006621225724141189,0.973418827475549,40588,40594,7,16296316,Hyper (ALS>Ctrl),TRUE
chr21,42948501,42948540,40,*,3,0.2902503957674012,0.8048810059089554,4.642957661242294,0.006621225724141189,0.973418827475549,281226,281228,3,42948520,Hyper (ALS>Ctrl),TRUE
chr21,16680105,16680894,790,*,5,2.013873976728558,-1.6215584124933549,-4.611127844681821,0.006733449888957142,0.973418827475549,43652,43656,5,16680499,Hypo (ALS<Ctrl),TRUE
chr21,32020800,32021118,319,*,3,0.6744070820439967,1.8043999637585535,4.609611048843559,0.006733449888957142,0.973418827475549,159754,159756,3,32020959,Hyper (ALS>Ctrl),TRUE
chr21,32146102,32146164,63,*,5,1.0146296992528652,-0.9173505803511214,-4.599077568131026,0.006762982563908709,0.973418827475549,161026,161030,5,32146133,Hypo (ALS<Ctrl),TRUE
chr21,27900927,27901146,220,*,4,1.8061203179187895,1.6450353924672874,4.592922481512441,0.0067807021688796485,0.973418827475549,122937,122940,4,27901036,Hyper (ALS>Ctrl),TRUE
chr21,45257125,45257835,711,*,8,7.722472270659085,-1.597535324870021,-4.582575694893454,0.0068574871237537215,0.973418827475549,306122,306129,8,45257480,Hypo (ALS<Ctrl),TRUE
chr21,30695316,30695361,46,*,4,2.5779163495970376,-1.711669101298703,-4.580185653850527,0.0068929263336956,0.973418827475549,144965,144968,4,30695338,Hypo (ALS<Ctrl),TRUE
chr21,37455561,37456145,585,*,7,3.2203686231694078,1.34455731039821,4.576210174258356,0.0068929263336956,0.973418827475549,217606,217612,7,37455853,Hyper (ALS>Ctrl),TRUE
chr21,24467372,24467779,408,*,14,0.9724289451282685,0.7285999918919605,4.5646089047799165,0.006951991683598733,0.973418827475549,95551,95564,14,24467575,Hyper (ALS>Ctrl),TRUE
chr21,39065840,39066348,509,*,5,2.00593496586795,1.542022514486393,4.564354645005935,0.006957898218589047,0.973418827475549,234165,234169,5,39066094,Hyper (ALS>Ctrl),TRUE
chr21,42622056,42622201,146,*,7,0.9920026328766625,-1.2535991483130597,-4.551785364008307,0.00703468317346312,0.973418827475549,275957,275963,7,42622128,Hypo (ALS<Ctrl),TRUE
chr21,17327172,17327504,333,*,3,0.8297573700329631,1.5538744840320708,4.543313768282746,0.0070524027784340595,0.973418827475549,46631,46633,3,17327338,Hyper (ALS>Ctrl),TRUE
chr21,24165019,24166195,1177,*,5,2.266072876396338,-1.7195027863449095,-4.510165810278118,0.007182346548220951,0.973418827475549,93496,93500,5,24165607,Hypo (ALS<Ctrl),TRUE
chr21,40606582,40606915,334,*,4,2.192333485432747,1.8016737002031333,4.481423560418051,0.007371355667910977,0.973418827475549,250268,250271,4,40606748,Hyper (ALS>Ctrl),TRUE
chr21,24113435,24113511,77,*,3,2.2803811571214627,-1.9879678654915207,-4.454168242451586,0.007542645182630062,0.973418827475549,93109,93111,3,24113473,Hypo (ALS<Ctrl),TRUE
chr21,40064377,40064407,31,*,3,1.605502297057447,-1.6398551200791436,-4.450997030042802,0.0075544582526106884,0.973418827475549,245100,245102,3,40064392,Hypo (ALS<Ctrl),TRUE
chr21,20812883,20813180,298,*,5,2.898492390098362,1.70637210586143,4.437636141807047,0.007666682417426641,0.973418827475549,70995,70999,5,20813031,Hyper (ALS>Ctrl),TRUE
chr21,42678719,42679655,937,*,9,4.83493065383319,1.890900367840399,4.4355395494742575,0.007708028162358833,0.973418827475549,276877,276885,9,42679187,Hyper (ALS>Ctrl),TRUE
chr21,44508822,44509104,283,*,6,1.3313859088754323,1.568817345562112,4.391196018505634,0.007932476491990739,0.973418827475549,296366,296371,6,44508963,Hyper (ALS>Ctrl),TRUE
chr21,19403571,19403896,326,*,3,2.0571456169918365,-1.7635803694988499,-4.3669801538199575,0.008050607191797005,0.973418827475549,61025,61027,3,19403733,Hypo (ALS<Ctrl),TRUE
chr21,24206217,24206400,184,*,8,3.532095851753141,-1.3139897507393337,-4.358894832658058,0.008097859471719511,0.973418827475549,93787,93794,8,24206308,Hypo (ALS<Ctrl),TRUE
chr21,5233789,5234438,650,*,6,1.1492415326600065,-1.2444903886456853,-4.350891192865712,0.008145111751642016,0.973418827475549,441,446,6,5234113,Hypo (ALS<Ctrl),TRUE
chr21,15011622,15012350,729,*,7,2.933291673139977,1.3322640756021655,4.344678060998849,0.008180550961583896,0.973418827475549,30686,30692,7,15011986,Hyper (ALS>Ctrl),TRUE
chr21,46476006,46476628,623,*,10,3.9744047389556907,1.0181973999326903,4.343404367923336,0.008180550961583896,0.973418827475549,321419,321428,10,46476317,Hyper (ALS>Ctrl),TRUE
chr21,24660481,24660800,320,*,11,2.657313969103722,-1.141096660643381,-4.339000237993819,0.008204177101545149,0.973418827475549,97014,97024,11,24660640,Hypo (ALS<Ctrl),TRUE
chr21,24255385,24255632,248,*,4,1.3892996173310777,-1.7118191793278263,-4.328141762164068,0.008286868591409535,0.973418827475549,94134,94137,4,24255508,Hypo (ALS<Ctrl),TRUE
chr21,42932041,42932269,229,*,6,1.7632856849644858,-1.4865279945048278,-4.311544153343041,0.00845815810612862,0.973418827475549,280938,280943,6,42932155,Hypo (ALS<Ctrl),TRUE
chr21,40093199,40093737,539,*,5,0.7658351093933515,1.544010417556544,4.276874336286503,0.008694419505741152,0.973418827475549,245394,245398,5,40093468,Hyper (ALS>Ctrl),TRUE
chr21,10477204,10477866,663,*,5,0.7911889129017555,1.1277910782254827,4.272404653389289,0.008735765250673344,0.973418827475549,13247,13251,5,10477535,Hyper (ALS>Ctrl),TRUE
chr21,44740859,44740870,12,*,3,0.4991204803604006,-1.638415349948794,-4.2687489022684995,0.008741671785663659,0.973418827475549,299070,299072,3,44740864,Hypo (ALS<Ctrl),TRUE
chr21,13359163,13359828,666,*,4,2.705700094793216,-1.9779004629715313,-4.255245268219318,0.008865709020460237,0.973418827475549,21192,21195,4,13359495,Hypo (ALS<Ctrl),TRUE
chr21,32591900,32592302,403,*,8,2.01496401908749,-1.1661940810919749,-4.249167256486201,0.008912961300382743,0.973418827475549,166400,166407,8,32592101,Hypo (ALS<Ctrl),TRUE
chr21,42820994,42821027,34,*,3,2.168068065993951,1.7122154085643269,4.2429925170535565,0.008983839720266503,0.973418827475549,279152,279154,3,42821010,Hyper (ALS>Ctrl),TRUE
chr21,44871617,44871638,22,*,4,1.3517626007560937,1.6731379632987713,4.228751486987488,0.009084250815101828,0.973418827475549,300996,300999,4,44871627,Hyper (ALS>Ctrl),TRUE
chr21,35398286,35402066,3781,*,34,8.502255393068241,0.48765538253532065,4.198139055512192,0.00928507300477248,0.973418827475549,193465,193498,34,35400176,Hyper (ALS>Ctrl),TRUE
chr21,19613976,19613996,21,*,3,0.4524853300048233,-1.5083105225470395,-4.186321733049454,0.00935595142465624,0.973418827475549,62466,62468,3,19613986,Hypo (ALS<Ctrl),TRUE
chr21,33611195,33611331,137,*,5,1.508753647275355,1.3116124261986588,4.180796714894789,0.009415016774559373,0.973418827475549,175849,175853,5,33611263,Hyper (ALS>Ctrl),TRUE
